sec,sample,state_ut,round,sch_name,fsu,su,sd,sss,ssu,svc,reason,st,nssreg,dc,strm,sstrm,sr,sro,nsc,mult,hhsize,religion,social,hhtype,bl04i05,bl04i06,bl04i07,bl04i08,bl04i09,bl04i10,bl07i011,bl07i012,bl07i013,bl07i014,bl07i015,bl07i016,bl07i017,bl07i018,bl07i019,bl07i0110,bl07i0111,bl07i0112,bl07i0113,bl07i0114,bl07i0115,bl07i0119,bl07i02,bl07i03,bl07i04,bl07i05,bl07i061,bl07i062,bl07i063,bl07i064,bl07i07,bl07i08,bl07i09,bl07i10,bl07i11,bl07i12,bl07i13,bl07i14,bl07i15,bl07i16,inf_srl,response
1,1,Sikkim,79,AYUSH,56583,1,,1,1,1,,11,111,1,22,1,4,1110,4,3708,6,6,1,1,6000,3000,250,13000,3000,10583,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1,1.0,2.0,1,1.0,1,2,,2.0,1
1,1,Sikkim,79,AYUSH,56583,1,,1,2,1,,11,111,1,22,1,4,1110,4,3708,3,6,1,1,5000,2800,180,10000,3000,9063,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,2.0,2.0,,,,,,,1,1.0,2.0,1,1.0,1,2,,2.0,1
1,1,Sikkim,79,AYUSH,56583,1,,1,3,1,,11,111,1,22,1,4,1110,4,3708,6,6,1,1,9000,3500,300,17000,6000,14717,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,2.0,,,,,,,1,1.0,1.0,1,1.0,1,2,,2.0,1
1,1,Sikkim,79,AYUSH,56583,1,,1,4,1,,11,111,1,22,1,4,1110,4,3708,6,6,1,1,11000,3500,250,15000,4000,16333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,2.0,2.0,,,,,,,1,1.0,2.0,1,1.0,1,2,,2.0,1
1,1,Sikkim,79,AYUSH,56583,1,,1,5,1,,11,111,1,22,1,4,1110,4,3708,3,6,1,1,5500,2000,180,8000,3500,8638,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,2.0,,,,,,,1,1.0,2.0,1,1.0,1,2,,2.0,1
1,1,Sikkim,79,AYUSH,56583,1,,1,6,1,,11,111,1,22,1,4,1110,4,3708,6,6,1,1,7500,4000,350,20000,8000,14183,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,2.0,,,,,,,1,1.0,1.0,1,1.0,1,2,,2.0,1
1,1,Sikkim,79,AYUSH,56583,1,,1,7,1,,11,111,1,22,1,4,1110,4,3708,1,6,1,1,2000,1500,150,6000,2000,4317,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,2.0,,,,,,,1,1.0,2.0,1,1.0,1,2,,1.0,1
1,1,Sikkim,79,AYUSH,56583,1,,1,8,1,,11,111,1,22,1,4,1110,4,3708,4,6,1,1,6000,4000,350,12000,15000,12600,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,2.0,2.0,,,,,,,1,1.0,1.0,1,1.0,1,2,,2.0,1
1,1,Sikkim,79,AYUSH,56583,1,,1,9,1,,11,111,1,22,1,4,1110,4,3708,3,6,1,2,12000,500,120,18000,20000,15787,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,2.0,,,,,,,1,1.0,2.0,1,1.0,1,2,,2.0,1
1,1,Sikkim,79,AYUSH,56583,1,,1,10,1,,11,111,1,22,1,4,1110,4,3708,5,6,1,2,6500,3500,200,14000,4000,11700,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,2.0,,,,,,,1,1.0,2.0,1,1.0,1,2,,2.0,1
1,1,Sikkim,79,AYUSH,56583,1,,1,11,1,,11,111,1,22,1,4,1110,4,3708,6,6,1,2,7000,4000,200,13000,4000,12617,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,2.0,,,,,,,1,1.0,2.0,1,1.0,1,2,,2.0,1
1,1,Sikkim,79,AYUSH,56583,1,,1,12,1,,11,111,1,22,1,4,1110,4,3708,4,6,1,1,6000,3500,250,11000,3500,10958,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,3.0,2.0,,,,,,,1,1.0,2.0,1,1.0,1,2,,2.0,1
1,1,Sikkim,79,AYUSH,56589,2,,1,1,1,,11,111,1,23,1,4,1110,4,6428,3,1,2,1,7000,1500,100,12000,15000,10850,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,5.0,2.0,2.0,,,,,,,1,1.0,1.0,1,1.0,1,1,1.0,2.0,1
